,question,answer,image_id,answer_idx,tokens,indexed
702,what is behind the chair,game_table,image422,-1,"['what', 'is', 'behind', 'the', 'chair']","[1060, 510, 70, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
703,what is the largest object,table,image888,-1,"['what', 'is', 'the', 'largest', 'object']","[1060, 510, 966, 554, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
704,what is the colour of the comforter,"blue, yellow",image1056,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'comforter']","[1060, 510, 966, 211, 643, 966, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
705,how many glass cups are there,4,image800,-1,"['how', 'many', 'glass', 'cups', 'are', 'there']","[474, 588, 417, 263, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
706,what is on the right side of the lamp on the table,bottle_of_liquid,image76,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'lamp', 'on', 'the', 'table']","[1060, 510, 646, 966, 785, 854, 643, 966, 546, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0]"
707,what is on the left side of the chair,paper,image596,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'chair']","[1060, 510, 646, 966, 562, 854, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
708,what is on the chair,clothes,image418,-1,"['what', 'is', 'on', 'the', 'chair']","[1060, 510, 646, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
709,what is in door,door_knob,image539,-1,"['what', 'is', 'in', 'door']","[1060, 510, 500, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
710,what color is the bath mat,white,image730,-1,"['what', 'color', 'is', 'the', 'bath', 'mat']","[1060, 207, 510, 966, 55, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
711,what is on the table,"laptop, printer",image57,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
712,what is the colour of green liquid bottle cap,white,image786,-1,"['what', 'is', 'the', 'colour', 'of', 'green', 'liquid', 'bottle', 'cap']","[1060, 510, 966, 211, 643, 425, 570, 110, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
713,what is the largest object,bed,image1105,-1,"['what', 'is', 'the', 'largest', 'object']","[1060, 510, 966, 554, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
714,what is found below the photo,cabinet,image1423,-1,"['what', 'is', 'found', 'below', 'the', 'photo']","[1060, 510, 391, 72, 966, 698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
715,what is present on the wall near the door,light_switch,image1020,-1,"['what', 'is', 'present', 'on', 'the', 'wall', 'near', 'the', 'door']","[1060, 510, 748, 646, 966, 1049, 623, 966, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
716,what are the colours are on the bed,"pink, black, green, purple",image1133,-1,"['what', 'are', 'the', 'colours', 'are', 'on', 'the', 'bed']","[1060, 26, 966, 213, 26, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
717,what object is found inbetweeng the bag and the tea kettle,cup,image851,-1,"['what', 'object', 'is', 'found', 'inbetweeng', 'the', 'bag', 'and', 'the', 'tea', 'kettle']","[1060, 639, 510, 391, 501, 966, 42, 15, 966, 953, 527, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
718,what is hanging on the wall on the left side of the door way,calendar,image564,-1,"['what', 'is', 'hanging', 'on', 'the', 'wall', 'on', 'the', 'left', 'side', 'of', 'the', 'door', 'way']","[1060, 510, 444, 646, 966, 1049, 646, 966, 562, 854, 643, 966, 307, 1056, 0, 0, 0, 0, 0, 0]"
719,what is the object close to the wall,picture,image815,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'wall']","[1060, 510, 966, 639, 196, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
720,what is found on the floor,book,image1067,-1,"['what', 'is', 'found', 'on', 'the', 'floor']","[1060, 510, 391, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
721,what is near the door,shelves,image615,-1,"['what', 'is', 'near', 'the', 'door']","[1060, 510, 623, 966, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
722,what is the colour of the table and chair,brown,image1180,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'table', 'and', 'chair']","[1060, 510, 966, 211, 643, 966, 944, 15, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
723,what is on the left side of the container,stove,image776,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'container']","[1060, 510, 646, 966, 562, 854, 643, 966, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
724,what is on the table,decorative_plate,image1354,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
725,what is the center object on the floor,table,image1272,-1,"['what', 'is', 'the', 'center', 'object', 'on', 'the', 'floor']","[1060, 510, 966, 170, 639, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
726,what is on the left side of the drawer,dishwasher,image818,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'drawer']","[1060, 510, 646, 966, 562, 854, 643, 966, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
727,what in front of the chair,floor,image429,-1,"['what', 'in', 'front', 'of', 'the', 'chair']","[1060, 500, 400, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
728,what is on the sofa,pillow,image1267,-1,"['what', 'is', 'on', 'the', 'sofa']","[1060, 510, 646, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
729,what is in front of the chair,plastic_box,image401,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'chair']","[1060, 510, 500, 400, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
730,what are the objects close to the wall,"clock, poster_board, wire, telephone, fire_alarm",image21,-1,"['what', 'are', 'the', 'objects', 'close', 'to', 'the', 'wall']","[1060, 26, 966, 640, 196, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
731,what is on the left side of the picture,decorative_plate,image1321,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'picture']","[1060, 510, 646, 966, 562, 854, 643, 966, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
732,how many frames are there on the wall,2,image1408,-1,"['how', 'many', 'frames', 'are', 'there', 'on', 'the', 'wall']","[474, 588, 396, 26, 969, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
733,what color is the television,black,image402,-1,"['what', 'color', 'is', 'the', 'television']","[1060, 207, 510, 966, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
734,what is found behind the table,stairs,image1363,-1,"['what', 'is', 'found', 'behind', 'the', 'table']","[1060, 510, 391, 70, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
735,what is on the right side of the door,chair,image925,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'door']","[1060, 510, 646, 966, 785, 854, 643, 966, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
736,what is on the table,"alarm, container",image1123,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
737,what color are the chairs,blue,image307,-1,"['what', 'color', 'are', 'the', 'chairs']","[1060, 207, 26, 966, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
738,what are on the wall on the left side of the green curtain but not behind the garbage bin,"clock, telephone",image8,-1,"['what', 'are', 'on', 'the', 'wall', 'on', 'the', 'left', 'side', 'of', 'the', 'green', 'curtain', 'but', 'not', 'behind', 'the', 'garbage', 'bin']","[1060, 26, 646, 966, 1049, 646, 966, 562, 854, 643, 966, 425, 264, 133, 630, 70, 966, 409, 88, 0]"
739,how many drawers are there,9,image814,-1,"['how', 'many', 'drawers', 'are', 'there']","[474, 588, 314, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
740,what is the colour of the book,"red, black",image1393,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'book']","[1060, 510, 966, 211, 643, 966, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
741,what is behind the shelf,sofa,image230,-1,"['what', 'is', 'behind', 'the', 'shelf']","[1060, 510, 70, 966, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
742,what is the object close to the wall,picture,image1007,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'wall']","[1060, 510, 966, 639, 196, 984, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
743,what is the colour of the telephone,black,image3,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'telephone']","[1060, 510, 966, 211, 643, 966, 958, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
744,what is spread on the bed,bed_sheets,image1017,-1,"['what', 'is', 'spread', 'on', 'the', 'bed']","[1060, 510, 887, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
745,what is behind the books on the table,decorative_plate,image1246,-1,"['what', 'is', 'behind', 'the', 'books', 'on', 'the', 'table']","[1060, 510, 70, 966, 104, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
746,what is the colour of the wall,green,image1397,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'wall']","[1060, 510, 966, 211, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
747,what is at the top right corner,door,image1182,-1,"['what', 'is', 'at', 'the', 'top', 'right', 'corner']","[1060, 510, 32, 966, 993, 785, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
748,what is near the chair,fan,image1337,-1,"['what', 'is', 'near', 'the', 'chair']","[1060, 510, 623, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
749,what is on the right side of the shelf,oven,image763,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'shelf']","[1060, 510, 646, 966, 785, 854, 643, 966, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
750,what is to the right of the keyboard,bookshelf,image1089,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'the', 'keyboard']","[1060, 510, 984, 966, 785, 643, 966, 529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
751,what is on the left side of the chair,vase,image1108,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'chair']","[1060, 510, 646, 966, 562, 854, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
752,what is near the window on the table,printer,image369,-1,"['what', 'is', 'near', 'the', 'window', 'on', 'the', 'table']","[1060, 510, 623, 966, 1072, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
753,what is on the right side of the bed,chair,image910,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'bed']","[1060, 510, 646, 966, 785, 854, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
754,what is the colour of the chair,black,image476,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'chair']","[1060, 510, 966, 211, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
755,what are the objects found on the cabinet,"lamp, alarm_clock, book",image1158,-1,"['what', 'are', 'the', 'objects', 'found', 'on', 'the', 'cabinet']","[1060, 26, 966, 640, 391, 646, 966, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
756,what are the objects on the bed,"blanket, pillow",image65,-1,"['what', 'are', 'the', 'objects', 'on', 'the', 'bed']","[1060, 26, 966, 640, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
757,what is in front of the book rack,chair,image483,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'book', 'rack']","[1060, 510, 500, 400, 643, 966, 102, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
758,what is to the right of the plant pot,table,image1270,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'the', 'plant', 'pot']","[1060, 510, 984, 966, 785, 643, 966, 722, 743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
759,what is behind the chair,stand,image285,-1,"['what', 'is', 'behind', 'the', 'chair']","[1060, 510, 70, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
760,what is behind the pull down faucet,window_shelf,image807,-1,"['what', 'is', 'behind', 'the', 'pull', 'down', 'faucet']","[1060, 510, 70, 966, 754, 311, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
761,what is on the table below the television,video_game,image431,-1,"['what', 'is', 'on', 'the', 'table', 'below', 'the', 'television']","[1060, 510, 646, 966, 944, 72, 966, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
762,what is on the table,"book, remote_control",image1227,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
763,how many students are visible,3,image305,-1,"['how', 'many', 'students', 'are', 'visible']","[474, 588, 927, 26, 1046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
764,what is on the right side of the cooking pan,oven,image867,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'cooking', 'pan']","[1060, 510, 646, 966, 785, 854, 643, 966, 234, 678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
765,what is on the bed,pillow,image1080,-1,"['what', 'is', 'on', 'the', 'bed']","[1060, 510, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
766,what object is found on the left of the lamp,books,image983,-1,"['what', 'object', 'is', 'found', 'on', 'the', 'left', 'of', 'the', 'lamp']","[1060, 639, 510, 391, 646, 966, 562, 643, 966, 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
767,what is found near the wall,cabinet,image1434,-1,"['what', 'is', 'found', 'near', 'the', 'wall']","[1060, 510, 391, 623, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
768,what is the brown wooden object behind the flat screen in front of the wall,dresser,image63,-1,"['what', 'is', 'the', 'brown', 'wooden', 'object', 'behind', 'the', 'flat', 'screen', 'in', 'front', 'of', 'the', 'wall']","[1060, 510, 966, 122, 1084, 639, 70, 966, 374, 819, 500, 400, 643, 966, 1049, 0, 0, 0, 0, 0]"
769,how many legs in the stool,4,image735,-1,"['how', 'many', 'legs', 'in', 'the', 'stool']","[474, 588, 564, 500, 966, 916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
770,what is the colour of juice maker,white,image751,-1,"['what', 'is', 'the', 'colour', 'of', 'juice', 'maker']","[1060, 510, 966, 211, 643, 523, 584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
771,how many chairs are there,3,image840,-1,"['how', 'many', 'chairs', 'are', 'there']","[474, 588, 178, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
772,what object is found on the right side,lamp,image974,-1,"['what', 'object', 'is', 'found', 'on', 'the', 'right', 'side']","[1060, 639, 510, 391, 646, 966, 785, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
773,what is behind the bag,desk,image388,-1,"['what', 'is', 'behind', 'the', 'bag']","[1060, 510, 70, 966, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
774,what is on the wall,picture,image966,-1,"['what', 'is', 'on', 'the', 'wall']","[1060, 510, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
775,what is on the left side of the chair,refridgerator,image565,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'chair']","[1060, 510, 646, 966, 562, 854, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
776,what is in front of the table,dog,image1331,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'table']","[1060, 510, 500, 400, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
777,what is on the left side of the bed,bag,image1157,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'bed']","[1060, 510, 646, 966, 562, 854, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
778,what is on the stove,stove_burner,image126,-1,"['what', 'is', 'on', 'the', 'stove']","[1060, 510, 646, 966, 920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
779,what is to the left of the door way,lamp,image1443,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'door', 'way']","[1060, 510, 984, 966, 562, 643, 966, 307, 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
780,what are on the both sides of the photo,window,image1391,-1,"['what', 'are', 'on', 'the', 'both', 'sides', 'of', 'the', 'photo']","[1060, 26, 646, 966, 109, 855, 643, 966, 698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
781,what is on the right side of the sink,curtain,image656,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'sink']","[1060, 510, 646, 966, 785, 854, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
782,what is the colour of the pilar,white,image107,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'pilar']","[1060, 510, 966, 211, 643, 966, 707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
783,how many shelves does the bookcase have on the left side of the sweatshirts,6,image99,-1,"['how', 'many', 'shelves', 'does', 'the', 'bookcase', 'have', 'on', 'the', 'left', 'side', 'of', 'the', 'sweatshirts']","[474, 588, 844, 298, 966, 103, 447, 646, 966, 562, 854, 643, 966, 934, 0, 0, 0, 0, 0, 0]"
784,what is the object close to the sink,faucet,image708,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'sink']","[1060, 510, 966, 639, 196, 984, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
785,what is on the right side of the blinds,table,image441,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'blinds']","[1060, 510, 646, 966, 785, 854, 643, 966, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
786,what is to the right of bottle,glass,image127,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'bottle']","[1060, 510, 984, 966, 785, 643, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
787,what object is in the right side,refridgerator,image871,-1,"['what', 'object', 'is', 'in', 'the', 'right', 'side']","[1060, 639, 510, 500, 966, 785, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
788,what is in front of the chair,table,image1278,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'chair']","[1060, 510, 500, 400, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
789,what is found near the bed,dog_toy,image1144,-1,"['what', 'is', 'found', 'near', 'the', 'bed']","[1060, 510, 391, 623, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
790,what is behind the sink,candlestick,image143,-1,"['what', 'is', 'behind', 'the', 'sink']","[1060, 510, 70, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
791,what is on the wall,framed_certificate,image1029,-1,"['what', 'is', 'on', 'the', 'wall']","[1060, 510, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
792,how many chairs are there,2,image629,-1,"['how', 'many', 'chairs', 'are', 'there']","[474, 588, 178, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
793,what is the object on the floor in front of the wall,television,image912,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'floor', 'in', 'front', 'of', 'the', 'wall']","[1060, 510, 966, 639, 646, 966, 377, 500, 400, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0]"
794,how many chairs are,2,image243,-1,"['how', 'many', 'chairs', 'are']","[474, 588, 178, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
795,what is in front of the basket ball,papers,image476,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'basket', 'ball']","[1060, 510, 500, 400, 643, 966, 52, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
796,what is the object on the table right of the sofa,lamp,image588,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'table', 'right', 'of', 'the', 'sofa']","[1060, 510, 966, 639, 646, 966, 944, 785, 643, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
797,what is behind the curtains,blinds,image1398,-1,"['what', 'is', 'behind', 'the', 'curtains']","[1060, 510, 70, 966, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
798,what is on the wall,television,image1112,-1,"['what', 'is', 'on', 'the', 'wall']","[1060, 510, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
799,what is on the right side of the mouse,tape,image456,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'mouse']","[1060, 510, 646, 966, 785, 854, 643, 966, 615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
800,what is the colour of the wall,red,image1400,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'wall']","[1060, 510, 966, 211, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
801,what in the middle of the television stand,books,image164,-1,"['what', 'in', 'the', 'middle', 'of', 'the', 'television', 'stand']","[1060, 500, 966, 603, 643, 966, 960, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
802,how many colours of towels are there,5,image785,-1,"['how', 'many', 'colours', 'of', 'towels', 'are', 'there']","[474, 588, 213, 643, 999, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
803,what is near the door,printer,image449,-1,"['what', 'is', 'near', 'the', 'door']","[1060, 510, 623, 966, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
804,what is behind the table,television,image1290,-1,"['what', 'is', 'behind', 'the', 'table']","[1060, 510, 70, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
805,what is on the left side of the soap,bottle_of_hand_wash_liquid,image771,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'soap']","[1060, 510, 646, 966, 562, 854, 643, 966, 868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
806,what is the white cloth on the right side of the sink,towel,image861,-1,"['what', 'is', 'the', 'white', 'cloth', 'on', 'the', 'right', 'side', 'of', 'the', 'sink']","[1060, 510, 966, 1067, 201, 646, 966, 785, 854, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0]"
807,what is behind the television,window,image1319,-1,"['what', 'is', 'behind', 'the', 'television']","[1060, 510, 70, 966, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
808,what is stuck on the right wall,paper,image20,-1,"['what', 'is', 'stuck', 'on', 'the', 'right', 'wall']","[1060, 510, 925, 646, 966, 785, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
809,what is near the lamp,sofa,image151,-1,"['what', 'is', 'near', 'the', 'lamp']","[1060, 510, 623, 966, 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
810,what is the black and white round object on the top right of the brown cork board,clock,image22,-1,"['what', 'is', 'the', 'black', 'and', 'white', 'round', 'object', 'on', 'the', 'top', 'right', 'of', 'the', 'brown', 'cork', 'board']","[1060, 510, 966, 90, 15, 1067, 798, 639, 646, 966, 993, 785, 643, 966, 122, 239, 99, 0, 0, 0]"
811,what is the object on the table,paper,image1399,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'table']","[1060, 510, 966, 639, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
812,what is right side of the book,chair,image54,-1,"['what', 'is', 'right', 'side', 'of', 'the', 'book']","[1060, 510, 785, 854, 643, 966, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
813,what is on the right side of the stand,sofa,image485,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'stand']","[1060, 510, 646, 966, 785, 854, 643, 966, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
814,what is there in the left side,door,image1027,-1,"['what', 'is', 'there', 'in', 'the', 'left', 'side']","[1060, 510, 969, 500, 966, 562, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
815,what is stuck on the wall,wall_decoration,image1377,-1,"['what', 'is', 'stuck', 'on', 'the', 'wall']","[1060, 510, 925, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
816,what is to the left of the computer,bookshelf,image964,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'computer']","[1060, 510, 984, 966, 562, 643, 966, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
817,what is hung on the wall,wall_decoration,image1026,-1,"['what', 'is', 'hung', 'on', 'the', 'wall']","[1060, 510, 475, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
818,how many handles found,6,image846,-1,"['how', 'many', 'handles', 'found']","[474, 588, 437, 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
819,what is at the bottom of the cupboard,knife_rack,image759,-1,"['what', 'is', 'at', 'the', 'bottom', 'of', 'the', 'cupboard']","[1060, 510, 32, 966, 112, 643, 966, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
